id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_odtw,jumlah_odtw,satuan,tahun
259,32,JAWA BARAT,3207,KABUPATEN CIAMIS,ALAM,82,LOKASI,2017
260,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BUDAYA,45,LOKASI,2017
261,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MINAT KHUSUS,2,LOKASI,2017
262,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,ALAM,19,LOKASI,2017
263,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BUDAYA,6,LOKASI,2017
264,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MINAT KHUSUS,3,LOKASI,2017
265,32,JAWA BARAT,3209,KABUPATEN CIREBON,ALAM,7,LOKASI,2017
266,32,JAWA BARAT,3209,KABUPATEN CIREBON,BUDAYA,4,LOKASI,2017
267,32,JAWA BARAT,3209,KABUPATEN CIREBON,MINAT KHUSUS,0,LOKASI,2017
268,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,ALAM,29,LOKASI,2017
269,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BUDAYA,9,LOKASI,2017
270,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MINAT KHUSUS,11,LOKASI,2017
271,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,ALAM,20,LOKASI,2017
272,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BUDAYA,11,LOKASI,2017
273,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MINAT KHUSUS,1,LOKASI,2017
274,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,ALAM,24,LOKASI,2017
275,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BUDAYA,0,LOKASI,2017
276,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MINAT KHUSUS,0,LOKASI,2017
277,32,JAWA BARAT,3213,KABUPATEN SUBANG,ALAM,5,LOKASI,2017
278,32,JAWA BARAT,3213,KABUPATEN SUBANG,BUDAYA,6,LOKASI,2017
279,32,JAWA BARAT,3213,KABUPATEN SUBANG,MINAT KHUSUS,2,LOKASI,2017
280,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,ALAM,9,LOKASI,2017
281,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BUDAYA,8,LOKASI,2017
282,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MINAT KHUSUS,9,LOKASI,2017
